Band,Year,Vans Warped Tour,Lollapalooza Chicago,Firefly Music Festival,Austin City Limits,Outside Lands Music and Arts Festival,Governors Ball Music Festival,Riot Fest Chicago,The Beale Street Music Festival,VooDoo Music and Arts Festival,Coachella Valley Music and Arts Festival,Electric Daisy Carnival Las Vegas,Sasquatch! Music Festival,Bonnaroo Music and Arts Festival,Newport Folk Festival,Hangout Music Festival,Pitchfork Music Festival,Budweiser Made in America Festival,Ultra Music Festival Miami,Festival
Alvvays,2015,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Riot Fest Chicago
Alvvays,2016,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Coachella Valley Music and Arts Festival
Alvvays,2015,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Sasquatch! Music Festival
Aly & Fila,2016,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Electric Daisy Carnival Las Vegas
Aly & Fila,2015,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Electric Daisy Carnival Las Vegas
Aly & Fila,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Ultra Music Festival Miami
Amanda Shires,2016,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Austin City Limits
Amasa Hines,2016,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Austin City Limits
Amasa Hines,2016,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,The Beale Street Music Festival
Amason,2015,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Austin City Limits
American Aquarium,2015,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Austin City Limits
American Authors,2016,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Vans Warped Tour
American Authors,2014,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Firefly Music Festival
American Nightmare,2015,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Riot Fest Chicago
American Opera,2015,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Vans Warped Tour
American Pinup,2014,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Vans Warped Tour
American Scene,2014,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Riot Fest Chicago
Amine Edge & Dance,2016,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Coachella Valley Music and Arts Festival
Amine Edge & Dance,2015,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Electric Daisy Carnival Las Vegas
Amon Tobin,2015,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Outside Lands Music and Arts Festival
Amos Lee,2014,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Firefly Music Festival
Amos Lee,2014,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Bonnaroo Music and Arts Festival
Amos Lee,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Hangout Music Festival
Amtrac,2016,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Electric Daisy Carnival Las Vegas
Amtrac,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Ultra Music Festival Miami
Ana Popovic,2016,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,The Beale Street Music Festival
Ana Popovic,2015,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,The Beale Street Music Festival
Ana Popovic,2014,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,The Beale Street Music Festival
Ana Tijoux,2014,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Austin City Limits
Ana Tijoux,2015,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Bonnaroo Music and Arts Festival
Anaïs Mitchell,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Newport Folk Festival
Anais Mitchell and Jefferson Hamer,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Newport Folk Festival
